date,rank,song,artist,last_week,peak_rank,weeks_on_board
2010-05-15,89,"Lover, Lover",Jerrod Niemann,89.0,89,210
2014-01-18,90,Drink To That All Night,Jerrod Niemann,90.0,90,210
2000-02-19,63,Only God Knows Why,Kid Rock,63.0,63,210
2015-01-31,48,Homegrown,Zac Brown Band,48.0,48,210
1995-09-16,94,Come With Me,Shai,94.0,94,210
1997-03-22,71,Silent All These Years,Tori Amos,71.0,71,210
1984-10-27,64,Do What You Do,Jermaine Jackson,64.0,64,210
2010-01-30,98,Highway 20 Ride,Zac Brown Band,98.0,98,210
2001-06-23,81,Schism,Tool,81.0,81,210
1988-02-13,49,"Get Outta My Dreams, Get Into My Car",Billy Ocean,49.0,49,210
2011-04-02,24,Who Says,Selena Gomez & The Scene,24.0,24,210
1996-06-08,16,Why I Love You So Much/Ain't Nobody,Monica,16.0,16,210
2014-11-22,25,The Heart Wants What It Wants,Selena Gomez,25.0,25,210
2013-06-22,70,Slow Down,Selena Gomez,94.0,70,210
1960-02-15,99,Let The Little Girl Dance,Billy Bland,99.0,99,210
1997-11-08,73,At The Beginning,Richard Marx & Donna Lewis,73.0,73,210
1995-04-08,66,"Can't You See (From ""New Jersey Drive"")",Total Featuring The Notorious B.I.G.,66.0,66,210
1998-11-07,37,Trippin',Total Featuring Missy Elliott,37.0,37,210
2007-10-13,100,Fake It,Seether,92.0,100,210
2008-11-08,89,Don't,Billy Currington,89.0,89,210
2015-03-21,91,Don't It,Billy Currington,91.0,91,210
2007-03-24,91,Good Directions,Billy Currington,91.0,91,210
2002-12-28,72,Fine Again,Seether,72.0,72,210
2010-12-11,97,Let Me Down Easy,Billy Currington,97.0,97,210
2005-10-22,100,Must Be Doin' Somethin' Right,Billy Currington,100.0,100,210
2009-05-16,90,People Are Crazy,Billy Currington,90.0,90,210
2010-06-19,83,Pretty Good At Drinkin' Beer,Billy Currington,83.0,83,210
2009-12-12,100,That's How Country Boys Roll,Billy Currington,100.0,100,210
1995-10-28,38,Dreaming Of You,Selena,38.0,38,210
2015-12-26,77,Hands To Myself,Selena Gomez,77.0,77,210
1997-04-19,73,Until I Find You Again,Richard Marx,73.0,73,210
1958-11-24,86,Gotta Travel On,Billy Grammer,86.0,86,210
1995-12-16,45,No One Else,Total,45.0,45,210
1995-10-28,85,"I Miss You (Come Back Home) (From ""New York Undercover"")",Monifah,85.0,85,210
1992-06-13,69,Take This Heart,Richard Marx,69.0,69,210
1996-12-21,17,"Fly Like An Eagle (From ""Space Jam"")",Seal,17.0,17,210
2007-04-21,94,Find Out Who Your Friends Are,Tracy Lawrence,94.0,94,210
1991-10-26,71,Forever My Lady,Jodeci,71.0,71,210
2011-06-18,84,Best Thing I Never Had,Beyonce,84.0,84,210
2012-07-21,97,2 Reasons,Trey Songz Featuring T.I.,97.0,97,210
2014-09-20,95,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,95.0,95,210
2005-07-09,99,A Real Fine Place To Start,Sara Evans,99.0,99,210
2000-10-21,77,Born To Fly,Sara Evans,77.0,77,210
2001-04-21,83,I Could Not Ask For More,Sara Evans,83.0,83,210
2012-09-15,61,Feel Again,OneRepublic,61.0,61,210
2004-08-07,75,Suds In The Bucket,Sara Evans,75.0,75,210
2009-11-07,90,I Invented Sex,Trey Songz Featuring Drake,90.0,90,210
2014-12-13,18,7/11,Beyonce,18.0,18,210
2010-03-13,88,Neighbors Know My Name,Trey Songz,88.0,88,210
1993-10-30,83,Keep Ya Head Up,2Pac,83.0,83,210
1995-03-11,31,Dear Mama/Old School,2Pac,31.0,31,210
2004-09-18,76,Dangerously In Love,Beyonce,76.0,76,210
2009-01-03,96,Diva,Beyonce,96.0,96,210
2002-12-07,50,Thugz Mansion,2Pac,50.0,50,210
2001-11-10,90,Brotha,Angie Stone,90.0,90,210
2008-10-25,100,If I Were A Boy,Beyonce,100.0,100,210
2000-03-11,79,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,79.0,79,210
2011-09-17,20,Love On Top,Beyonce,20.0,20,210
2016-05-21,63,Don't Mind,Kent Jones,63.0,63,210
1986-03-29,54,Greatest Love Of All,Whitney Houston,54.0,54,210
2016-05-14,11,Sorry,Beyonce,11.0,11,210
2001-07-21,99,I'm A Thug,Trick Daddy,99.0,99,210
2008-08-02,96,Do You Believe Me Now,Jimmy Wayne,96.0,96,210
2008-11-01,96,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,96.0,96,210
2001-12-08,75,Bring On The Rain,Jo Dee Messina With Tim McGraw,75.0,75,210
1992-04-11,92,Just Take My Heart,Mr. Big,92.0,92,210
1993-11-27,86,Cry For You,Jodeci,86.0,86,210
2014-12-06,55,Night Changes,One Direction,55.0,55,210
2012-03-31,90,One Thing,One Direction,75.0,90,210
1993-10-30,87,Slow And Easy,Zapp & Roger,87.0,87,210
2015-11-07,10,Perfect,One Direction,10.0,10,210
1997-04-05,81,A Little Bit Of Ecstasy,Jocelyn Enriquez,81.0,81,210
2005-10-08,92,Here We Go,Trina Featuring Kelly Rowland,92.0,92,210
1988-10-29,75,Little Liar,Joan Jett & the Blackhearts,75.0,75,210
1982-02-06,63,I Love Rock 'N Roll,Joan Jett & the Blackhearts,63.0,63,210
2000-06-24,78,That's The Way,Jo Dee Messina,78.0,78,210
1995-07-01,34,Good,Better Than Ezra,34.0,34,210
1998-12-12,75,Stand Beside Me,Jo Dee Messina,75.0,75,210
2005-02-19,91,My Give A Damn's Busted,Jo Dee Messina,91.0,91,210
1999-06-05,75,Lesson In Leavin',Jo Dee Messina,75.0,75,210
2001-07-28,98,On A Night Like This,Trick Pony,98.0,98,210
1999-03-13,99,Nann,Trick Daddy Featuring Trina,99.0,99,210
2000-12-02,77,Burn,Jo Dee Messina,77.0,77,210
2001-03-10,99,Take It To Da House,Trick Daddy Featuring The SNS Express,99.0,99,210
1989-10-28,91,Swing The Mood,Jive Bunny & The Mastermixers,91.0,91,210
2003-04-26,76,Stay Gone,Jimmy Wayne,76.0,76,210
1996-12-21,70,Desperately Wanting,Better Than Ezra,70.0,70,210
2002-03-16,79,Too Bad,Nickelback,79.0,79,210
2001-02-24,99,Look At Us,Sarina Paris,99.0,99,210
2008-08-16,91,Swing,Savage Featuring Soulja Boy Tell'em,91.0,91,210
2015-02-21,54,Blessings,Big Sean Featuring Drake,54.0,54,210
1993-04-10,84,Touch My Light,Big Mountain,84.0,84,210
1997-11-01,75,I'm Not A Player,Big Punisher,75.0,75,210
1987-05-16,38,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,38.0,38,210
2018-09-29,97,Best Shot,Jimmie Allen,97.0,97,210
2010-02-20,59,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",59.0,59,210
2009-03-28,94,Whatever It Is,Zac Brown Band,94.0,94,210
2003-11-15,76,Still Frame,Trapt,76.0,76,210
1958-12-29,72,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,72.0,72,210
1999-11-06,83,24/7,Kevon Edmonds,83.0,83,210
2008-05-17,83,Heaven Sent,Keyshia Cole,83.0,83,210
2007-12-29,80,I Remember,Keyshia Cole,80.0,80,210
2010-10-02,74,Can't Be Friends,Trey Songz,74.0,74,210
2011-08-06,88,Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash,88.0,88,210
2013-07-13,100,Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,94.0,100,210
2016-12-10,91,Play That Song,Train,77.0,91,210
2010-12-04,95,Marry Me,Train,95.0,95,210
2010-06-26,90,If It's Love,Train,90.0,90,210
1999-05-08,87,It's Not Right But It's Okay,Whitney Houston,87.0,87,210
2012-07-28,98,50 Ways To Say Goodbye,Train,98.0,98,210
1986-03-08,81,If You Leave,Orchestral Manoeuvres In The Dark,81.0,81,210
2018-12-22,96,This Is It,Scotty McCreery,96.0,96,210
2000-01-29,80,Lessons Learned,Tracy Lawrence,80.0,80,210
2016-06-04,92,THat Part,ScHoolboy Q Featuring Kanye West,76.0,92,210
1993-07-10,86,Very Special,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",86.0,86,210
2014-06-21,89,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,89.0,89,210
1993-05-29,79,Slam,Onyx,79.0,79,210
2000-04-08,75,Crash And Burn,Savage Garden,75.0,75,210
2014-01-04,12,Drunk In Love,Beyonce Featuring Jay Z,12.0,12,210
2011-05-28,73,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,73.0,73,210
1992-10-03,62,Someone To Hold,Trey Lorenz,62.0,62,210
2014-09-13,82,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,82.0,82,210
1996-03-23,74,Release Me,Angelina,74.0,74,210
1991-10-19,78,Angel Baby,Angelica,78.0,78,210
1996-12-28,7,"I Believe In You And Me (From ""The Preacher's Wife"")",Whitney Houston,7.0,7,210
2021-02-20,100,Quicksand,Morray,100.0,100,210
2001-09-15,76,Love Of A Woman,Travis Tritt,76.0,76,210
2001-03-03,78,It's A Great Day To Be Alive,Travis Tritt,78.0,78,210
2010-08-28,77,As She's Walking Away,Zac Brown Band Featuring Alan Jackson,77.0,77,210
2003-04-05,75,Still Ballin,2Pac Featuring Trick Daddy,75.0,75,210
2007-04-07,72,Lost In This Moment,Big & Rich,72.0,72,210
2018-04-07,86,Up Down,Morgan Wallen Featuring Florida Georgia Line,86.0,86,210
2014-05-03,81,Love Runs Out,OneRepublic,69.0,81,210
1993-02-27,42,I Have Nothing,Whitney Houston,42.0,42,210
2006-02-25,91,Girl Next Door,Saving Jane,91.0,91,210
1996-03-02,83,5 O'Clock,Nonchalant,83.0,83,210
2021-01-30,85,Goosebumps,Travis Scott & HVME,85.0,85,210
2019-07-13,81,My Type,Saweetie,81.0,81,210
2001-12-29,70,Welcome To Atlanta,Jermaine Dupri & Ludacris,70.0,70,210
2012-10-27,97,Goodbye In Her Eyes,Zac Brown Band,97.0,97,210
2015-06-13,95,Planez,Jeremih Featuring J. Cole,95.0,95,210
1997-03-29,13,Everyday Is A Winding Road,Sheryl Crow,13.0,13,210
1995-03-11,94,Cotton Eye Joe,Rednex,94.0,94,210
1987-05-02,89,I'd Still Say Yes,Klymaxx,89.0,89,210
2007-08-25,22,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,22.0,22,210
2001-06-09,81,When I Think About Angels,Jamie O'Neal,81.0,81,210
2000-12-23,72,There Is No Arizona,Jamie O'Neal,72.0,72,210
2014-06-07,39,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,39.0,39,210
2009-10-31,98,White Liar,Miranda Lambert,98.0,98,210
2011-06-18,94,Keep Your Head Up,Andy Grammer,94.0,94,210
2010-04-10,98,The House That Built Me,Miranda Lambert,98.0,98,210
2021-03-27,90,Settling Down,Miranda Lambert,90.0,90,210
2011-11-19,93,Over You,Miranda Lambert,87.0,93,210
1996-03-09,35,"Closer To Free (From ""Party Of Five"")",BoDeans,35.0,35,210
2017-03-11,27,Tunnel Vision,Kodak Black,27.0,27,210
1977-06-18,80,Handy Man,James Taylor,80.0,80,210
2013-02-09,89,Mama's Broken Heart,Miranda Lambert,89.0,89,210
2008-03-08,93,Just Got Started Lovin' You,James Otto,93.0,93,210
1994-12-10,83,Kitty Kitty,69 Boyz,83.0,83,210
2002-11-16,58,Family Portrait,P!nk,58.0,58,210
2009-11-14,92,If You Only Knew,Shinedown,92.0,92,210
2011-02-26,95,Heart Like Mine,Miranda Lambert,95.0,95,210
2001-01-13,98,After Party,Koffee Brown,98.0,98,210
2020-04-18,81,Bluebird,Miranda Lambert,81.0,81,210
2005-12-10,92,Looking For You,Kirk Franklin,92.0,92,210
2012-02-25,89,Somethin' 'Bout A Truck,Kip Moore,89.0,89,210
2009-08-08,96,Imma Star (Everywhere We Are),Jeremih,96.0,96,210
2019-01-26,75,Thotiana,Blueface,75.0,75,210
2003-03-01,99,Breathe,Blu Cantrell Featuring Sean Paul,99.0,99,210
2010-04-10,87,Pray For You,Jaron And The Long Road To Love,87.0,87,210
2002-11-30,68,Wanksta,50 Cent,68.0,68,210
1975-06-14,87,At Seventeen,Janis Ian,87.0,87,210
1997-11-08,60,Breaking All The Rules,She Moves,60.0,60,210
2006-12-23,85,Into The Ocean,Blue October,85.0,85,210
1976-07-31,83,(Don't Fear) The Reaper,Blue Oyster Cult,83.0,83,210
2000-03-11,81,She's More,Andy Griggs,81.0,81,210
1989-09-02,42,Miss You Much,Janet Jackson,42.0,42,210
2018-02-10,92,El Farsante,Ozuna & Romeo Santos,92.0,92,210
2012-10-06,99,Beer Money,Kip Moore,99.0,99,210
1986-06-21,88,Baby Love,Regina,88.0,88,210
1994-01-29,29,Because Of Love,Janet Jackson,29.0,29,210
1994-05-28,30,"Any Time, Any Place/And On And On",Janet Jackson,30.0,30,210
1989-02-11,91,A Shoulder To Cry On,Tommy Page,91.0,91,210
1983-12-10,84,Almost Over You,Sheena Easton,84.0,84,210
1998-05-23,3,I Get Lonely,Janet Featuring BLACKstreet,3.0,3,210
2001-06-23,76,Someone To Call My Lover,Janet,76.0,76,210
2002-12-28,75,Gossip Folks,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",75.0,75,210
2001-12-15,68,Take Away,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",68.0,68,210
1997-10-18,55,Sock It 2 Me,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",55.0,55,210
2013-04-06,97,Hey Pretty Girl,Kip Moore,97.0,97,210
2011-08-27,67,Baggage Claim,Miranda Lambert,67.0,67,210
2010-05-08,88,Impossible,Shontelle,88.0,88,210
1993-08-28,95,"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers,95.0,95,210
1995-12-09,44,Tonite's Tha Night,Kris Kross,44.0,44,210
1999-12-11,54,He Can't Love U,Jagged Edge,54.0,54,210
2000-05-13,89,I'll Be,Reba McEntire,89.0,89,210
1993-06-05,89,One Woman,Jade,89.0,89,210
2004-07-17,61,Why?,Jadakiss Featuring Anthony Hamilton,61.0,61,210
1992-08-08,39,Humpin' Around,Bobby Brown,39.0,39,210
1989-06-10,64,"On Our Own (From ""Ghostbusters II"")",Bobby Brown,64.0,64,210
2003-11-01,72,Perfect,Simple Plan,72.0,72,210
1978-12-23,83,What You Won't Do For Love,Bobby Caldwell,83.0,83,210
1999-10-30,88,What Do You Say,Reba,88.0,88,210
1998-01-10,90,Burn,Militia,90.0,90,210
1992-06-06,92,Warm It Up,Kris Kross,92.0,92,210
2006-06-03,98,Snow ((Hey Oh)),Red Hot Chili Peppers,92.0,98,210
1973-10-06,97,Hello It's Me,Todd Rundgren,97.0,97,210
2019-03-09,54,Walk Me Home,P!nk,54.0,54,210
2003-05-03,74,Beer For My Horses,Toby Keith Duet With Willie Nelson,74.0,74,210
2000-12-30,77,You Shouldn't Kiss Me Like This,Toby Keith,77.0,77,210
2002-10-05,74,Who's Your Daddy?,Toby Keith,74.0,74,210
2004-05-01,68,Whiskey Girl,Toby Keith,68.0,68,210
1974-10-19,95,Laughter In The Rain,Neil Sedaka,95.0,95,210
2018-08-04,4,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,4.0,4,210
1999-11-20,92,Got To Get It,Sisqo Featuring Make It Hot,92.0,92,210
1995-04-15,85,I Like,Kut Klose,85.0,85,210
2007-05-12,99,Sexy Lady,Yung Berg Featuring Junior,99.0,99,210
2007-05-26,91,Like This,Mims,91.0,91,210
2000-12-16,99,Could It Be,Jaheim,99.0,99,210
2001-06-30,82,Just In Case,Jaheim,82.0,82,210
1993-06-19,85,Girl U For Me/Lose Control,Silk,85.0,85,210
1999-03-13,30,If You (Lovin' Me),Silk,30.0,30,210
1967-08-05,71,Ode To Billie Joe,Bobbie Gentry,71.0,71,210
1993-12-25,86,Mary Jane's Last Dance,Tom Petty And The Heartbreakers,86.0,86,210
2002-07-06,61,Just Like A Pill,P!nk,61.0,61,210
1962-06-30,66,Breaking Up Is Hard To Do,Neil Sedaka,66.0,66,210
2003-02-08,68,Can't Stop,Red Hot Chili Peppers,68.0,68,210
2016-04-16,27,Close,Nick Jonas Featuring Tove Lo,27.0,27,210
2006-07-15,96,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,96.0,96,210
2013-03-02,99,Alive,Krewella,99.0,99,210
1999-11-06,58,If You Love Me,Mint Condition,58.0,58,210
2002-06-15,55,By The Way,Red Hot Chili Peppers,55.0,55,210
1985-10-19,52,Alive & Kicking,Simple Minds,52.0,52,210
2012-08-25,93,The One That Got Away,Jake Owen,93.0,93,210
2021-03-06,92,Made For You,Jake Owen,92.0,92,210
2014-04-12,94,Beachin',Jake Owen,94.0,94,210
2013-04-06,92,Anywhere With You,Jake Owen,92.0,92,210
2011-12-24,90,Alone With You,Jake Owen,90.0,90,210
2002-11-16,69,Fabulous,Jaheim Featuring Tha Rayne,69.0,69,210
2002-02-23,75,Anything,Jaheim Featuring Next,75.0,75,210
2003-03-22,75,Put That Woman First,Jaheim,75.0,75,210
1999-03-27,92,You Won't Ever Be Lonely,Andy Griggs,92.0,92,210
2008-11-08,87,Sex On Fire,Kings Of Leon,87.0,87,210
1991-08-03,91,Just Want To Hold You,Jasmine Guy,91.0,91,210
1996-04-06,76,Ain't No Nigga/Dead Presidents,Jay-Z Featuring Foxxy Brown,76.0,76,210
1993-08-07,67,Boom! Shake The Room,Jazzy Jeff & The Fresh Prince,67.0,67,210
2015-11-21,95,Beautiful Drug,Zac Brown Band,95.0,95,210
2021-01-23,95,Pick Up Your Feelings,Jazmine Sullivan,92.0,95,210
2008-08-02,73,Need U Bad,Jazmine Sullivan,73.0,73,210
1975-04-12,100,Dynomite-Part I,Tony Camillo's Bazuka,100.0,100,210
2004-04-17,99,Got It Twisted,Mobb Deep,99.0,99,210
1998-11-21,33,Ghetto Cowboy,Mo Thugs Family Featuring Bone Thugs-N-Harmony,33.0,33,210
2001-03-03,71,"So Fresh, So Clean",OutKast,71.0,71,210
2004-11-27,86,Numb/Encore,Jay-Z/Linkin Park,86.0,86,210
2000-04-22,69,Big Pimpin',Jay-Z Featuring UGK,69.0,69,210
2006-09-16,95,Stuntin' Like My Daddy,Birdman & Lil Wayne,95.0,95,210
1993-10-23,74,(I Know I Got) Skillz,Shaquille O'Neal,74.0,74,210
2007-11-17,97,Pop Bottles,Birdman Featuring Lil Wayne,97.0,97,210
2009-10-24,100,Money To Blow,Birdman Featuring Lil Wayne & Drake,100.0,100,210
1998-01-31,80,The City Is Mine,Jay-Z Featuring BLACKstreet,80.0,80,210
2001-12-22,68,The Whole World,OutKast Featuring Killer Mike,68.0,68,210
2014-07-19,16,Amnesia,5 Seconds Of Summer,16.0,16,210
2008-09-27,5,Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne,5.0,5,210
2011-08-06,47,Otis,Jay Z Kanye West Featuring Otis Redding,47.0,47,210
1992-11-14,84,When She Cries,Restless Heart,84.0,84,210
2009-11-21,27,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,27.0,27,210
1996-08-03,60,"Why Does It Hurt So Bad (From ""Waiting To Exhale"")",Whitney Houston,60.0,60,210
1997-08-23,76,Have A Little Mercy,4.0,76.0,76,210
1997-10-11,63,Love Gets Me Every Time,Shania Twain,63.0,63,210
2004-03-27,78,8th World Wonder,Kimberley Locke,78.0,78,210
1994-02-26,86,Player's Ball,OutKast,86.0,86,210
2009-04-25,91,Birthday Sex,Jeremih,91.0,91,210
2003-11-22,97,Shake That Monkey,Too Short Featuring Lil Jon & The East Side Boyz,97.0,97,210
1992-07-04,77,Stay,Shakespear's Sister,77.0,77,210
2018-02-24,62,Plug Walk,Rich The Kid,62.0,62,210
2013-08-03,98,Type Of Way,Rich Homie Quan,98.0,98,210
2002-10-12,67,Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,67.0,67,210
1997-05-03,96,Can U Feel It,3rd Party,96.0,96,210
2021-02-20,37,Time Today,Moneybagg Yo,37.0,37,210
2011-02-05,79,Colder Weather,Zac Brown Band,79.0,79,210
2009-08-01,34,She Wolf,Shakira,34.0,34,210
2002-03-16,70,Underneath Your Clothes,Shakira,70.0,70,210
1999-10-16,56,Waiting For Tonight,Jennifer Lopez,56.0,56,210
1997-05-10,44,Thinking Of You,Tony Toni Tone,44.0,44,210
2001-04-07,76,Play,Jennifer Lopez,76.0,76,210
2013-05-25,100,Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",100.0,100,210
1981-05-16,84,The Stroke,Billy Squier,84.0,84,210
1993-09-25,84,Anniversary,Tony Toni Tone,84.0,84,210
2002-08-24,75,Somewhere Out There,Our Lady Peace,75.0,75,210
1983-06-25,93,Dead Giveaway,Shalamar,93.0,93,210
2004-05-29,97,Float On,Modest Mouse,97.0,97,210
2002-10-19,65,I'm Gonna Getcha Good!,Shania Twain,65.0,65,210
2018-01-27,91,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",91.0,91,210
1996-08-10,99,Ready To Go,Republica,99.0,99,210
2006-10-28,100,Amarillo Sky,Jason Aldean,100.0,100,210
1999-07-17,78,What's My Age Again?,Blink-182,78.0,78,210
2011-12-10,96,Tonight Is The Night,Outasight,96.0,96,210
2006-03-18,96,Why,Jason Aldean,96.0,96,210
1999-06-12,75,Hey Leonardo (She Likes Me For Me),Blessid Union Of Souls,75.0,75,210
2013-12-14,93,When She Says Baby,Jason Aldean,93.0,93,210
1997-05-10,76,I Wanna Be There,Blessid Union Of Souls,76.0,76,210
1995-08-05,88,Let Me Be The One,Blessid Union Of Souls,88.0,88,210
1997-06-07,85,When I Die,No Mercy,85.0,85,210
2015-12-05,97,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,97.0,97,210
2004-03-20,70,I Miss You,Blink-182,70.0,70,210
2009-11-21,91,The Truth,Jason Aldean,91.0,91,210
2011-10-08,81,Tattoos On This Town,Jason Aldean,81.0,81,210
1970-10-24,91,Groove Me,King Floyd,91.0,91,210
2012-08-04,12,Take A Little Ride,Jason Aldean,12.0,12,210
2008-11-29,90,She's Country,Jason Aldean,88.0,90,210
1981-01-31,61,Rapture,Blondie,61.0,61,210
2002-02-23,76,What If She's An Angel,Tommy Shane Steiner,76.0,76,210
2012-11-03,92,Night Train,Jason Aldean,90.0,92,210
2010-09-11,54,My Kinda Party,Jason Aldean,54.0,54,210
1993-09-25,96,"Indo Smoke (From ""Poetic Justice"")",Mista Grimm,96.0,96,210
2012-03-10,92,Fly Over States,Jason Aldean,92.0,92,210
2014-08-09,12,Burnin' It Down,Jason Aldean,12.0,12,210
2009-06-27,85,Big Green Tractor,Jason Aldean,85.0,85,210
2018-02-10,28,You Make It Easy,Jason Aldean,28.0,28,210
1999-04-17,77,808,Blaque,77.0,77,210
2019-06-22,66,The Git Up,Blanco Brown,66.0,66,210
2010-01-09,65,Hillbilly Bone,Blake Shelton Featuring Trace Adkins,65.0,65,210
2008-05-31,82,Lucky,Jason Mraz & Colbie Caillat,84.0,82,210
1992-11-14,87,"Love Shoulda Brought You Home (From ""Boomerang"")",Toni Braxton,87.0,87,210
2000-07-29,76,Just Be A Man About It,Toni Braxton,76.0,76,210
1995-10-07,97,Danger,Blahzay Blahzay,97.0,97,210
1997-03-29,56,I Love Me Some Him/I Don't Want To,Toni Braxton,56.0,56,210
2008-07-12,94,Bartender Song,Rehab,94.0,94,210
1996-03-23,32,"Count On Me (From ""Waiting To Exhale"")",Whitney Houston & CeCe Winans,32.0,32,210
2001-05-26,98,Austin,Blake Shelton,98.0,98,210
2014-04-19,60,She Looks So Perfect,5 Seconds Of Summer,60.0,60,210
2008-04-26,91,Home,Blake Shelton,91.0,91,210
2011-04-23,13,Honey Bee,Blake Shelton,13.0,13,210
2017-04-08,98,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,98.0,98,210
2013-08-17,100,Mine Would Be You,Blake Shelton,100.0,100,210
2014-09-06,81,Neon Light,Blake Shelton,81.0,81,210
2015-05-02,93,Sangria,Blake Shelton,93.0,93,210
2008-11-08,99,She Wouldn't Be Gone,Blake Shelton,99.0,99,210
2004-10-30,65,Some Beach,Blake Shelton,65.0,65,210
2013-01-26,44,Sure Be Cool If You Did,Blake Shelton,44.0,44,210
2002-12-07,76,The Baby,Blake Shelton,76.0,76,210
2010-11-20,99,Who Are You When I'm Not Looking,Blake Shelton,99.0,99,210
2012-11-24,93,The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,93.0,93,210
1994-03-12,82,Feenin',Jodeci,82.0,82,210
2012-12-29,96,All Gold Everything,Trinidad James,96.0,96,210
2011-11-12,37,Red Solo Cup,Toby Keith,37.0,37,210
2004-04-03,65,Don't Tell Me,Avril Lavigne,65.0,65,210
1996-11-09,90,Come See Me,112,90.0,90,210
2020-07-25,5,Wishing Well,Juice WRLD,5.0,5,210
2001-09-15,73,Dance With Me,112,73.0,73,210
2007-12-08,100,Cleaning This Gun (Come On In Boy),Rodney Atkins,100.0,100,210
2019-03-09,64,Clout,Offset Featuring Cardi B,72.0,64,210
2011-12-03,66,Levels,Avicii,66.0,66,210
2006-06-03,96,If You're Going Through Hell (Before The Devil Even Knows),Rodney Atkins,96.0,96,210
2009-03-07,98,It's America,Rodney Atkins,98.0,98,210
2000-12-09,82,It's Over Now,112,82.0,82,210
1974-04-20,83,You Won't See Me,Anne Murray,83.0,83,210
2007-06-23,94,These Are My People,Rodney Atkins,94.0,94,210
2019-10-19,11,Bandit,Juice WRLD & YoungBoy Never Broke Again,11.0,11,210
2005-03-05,99,U Already Know,112 Featuring Foxy Brown,99.0,99,210
2006-11-18,90,Watching You,Rodney Atkins,90.0,90,210
1973-02-10,100,The Night The Lights Went Out In Georgia,Vicki Lawrence,100.0,100,210
2002-09-14,72,Sk8er Boi,Avril Lavigne,72.0,72,210
2011-01-29,13,What The Hell,Avril Lavigne,13.0,13,210
2007-05-05,90,When You're Gone,Avril Lavigne,82.0,90,210
1996-06-22,65,If I Ruled The World,Nas,65.0,65,210
2003-03-01,46,I Can,Nas,46.0,46,210
2018-05-26,92,All Girls Are The Same,Juice WRLD,92.0,92,210
2001-04-07,96,La Bomba,Azul Azul,96.0,96,210
2021-06-19,20,Late At Night,Roddy Ricch,20.0,20,210
2000-11-04,70,My First Love,Avant Featuring KeKe Wyatt,70.0,70,210
2006-09-16,87,Here It Goes Again,OK Go,87.0,87,210
2003-08-16,80,Show Me How To Live,Audioslave,80.0,80,210
1996-11-16,78,If We Fall In Love Tonight,Rod Stewart,78.0,78,210
2012-04-14,2,Boyfriend,Justin Bieber,2.0,2,210
1998-07-04,48,Ooh La La,Rod Stewart,48.0,48,210
1980-11-22,50,Passion,Rod Stewart,50.0,50,210
1992-02-01,39,Masterpiece,Atlantic Starr,39.0,39,210
1993-08-14,93,Reason To Believe,Rod Stewart,93.0,93,210
1996-02-10,55,Get Money,Junior M.A.F.I.A. Featuring The Notorious B.I.G.,55.0,55,210
1995-07-22,75,Player's Anthem,Junior M.A.F.I.A.,75.0,75,210
2013-11-09,30,Unconditionally,Katy Perry,30.0,30,210
2003-03-01,72,Like A Stone,Audioslave,72.0,72,210
2013-09-21,85,I Luv This Sh*t,August Alsina Featuring Trinidad James,85.0,85,210
2000-04-29,62,Separated,Avant,62.0,62,210
1996-01-27,21,Wonderwall,Oasis,21.0,21,210
2016-12-17,52,How Far I'll Go,Auli'i Cravalho,52.0,52,210
2012-09-29,71,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,71.0,71,210
2005-10-22,96,If It's Lovin' That You Want,Rihanna,96.0,96,210
2000-09-02,82,Feels Like Love,Vince Gill,82.0,82,210
